time,homeappliances,utilities,heating,water,vehicles
00:00:00,666,228,387,142,696
00:15:00,624,221,387,142,696
00:30:00,582,214,387,142,696
00:45:00,540,215,410,142,696
01:00:00,499,195,410,129,696
01:15:00,478,191,410,129,696
01:30:00,458,188,410,129,696
01:45:00,447,186,410,129,696
02:00:00,437,187,410,134,696
02:15:00,426,223,410,134,696
02:30:00,416,183,410,134,696
02:45:00,416,191,410,134,696
03:00:00,416,189,410,133,696
03:15:00,416,197,410,133,696
03:30:00,416,189,410,133,696
03:45:00,416,189,410,133,696
04:00:00,416,190,421,120,696
04:15:00,437,193,421,120,696
04:30:00,458,197,421,120,696
04:45:00,478,201,421,120,696
05:00:00,499,232,453,114,696
05:15:00,540,270,453,114,696
05:30:00,582,307,453,164,696
05:45:00,603,342,453,221,696
06:00:00,624,376,451,260,411
06:15:00,728,424,451,356,342
06:30:00,832,473,451,472,103
06:45:00,832,503,428,580,0
07:00:00,832,570,428,600,0
07:15:00,853,581,428,600,0
07:30:00,874,622,428,600,24
07:45:00,915,615,428,600,24
08:00:00,956,599,395,613,24
08:15:00,977,603,395,611,0
08:30:00,998,621,395,565,91
08:45:00,1040,636,395,308,91
09:00:00,1082,699,395,225,91
09:15:00,1102,717,372,133,91
09:30:00,1123,706,372,129,91
09:45:00,1123,713,372,129,40
10:00:00,1123,706,361,142,0
10:15:00,1144,701,361,142,17
10:30:00,1165,713,338,142,17
10:45:00,1206,727,338,142,17
11:00:00,1247,712,338,129,17
11:15:00,1227,701,338,129,17
11:30:00,1206,697,338,129,58
11:45:00,1247,689,315,129,40
12:00:00,1289,782,315,134,40
12:15:00,1310,793,315,134,58
12:30:00,1331,857,315,134,58
12:45:00,1289,842,315,134,17
13:00:00,1247,716,315,133,35
13:15:00,1206,679,315,133,35
13:30:00,1165,657,315,133,17
13:45:00,1165,672,315,133,17
14:00:00,1165,723,338,120,17
14:15:00,1185,682,338,120,52
14:30:00,1206,685,338,120,35
14:45:00,1217,717,338,120,127
15:00:00,1227,867,338,114,127
15:15:00,1258,842,361,114,127
15:30:00,1289,802,361,114,125
15:45:00,1455,846,361,114,198
16:00:00,1622,799,350,113,69
16:15:00,1768,839,350,122,69
16:30:00,1681,795,350,128,69
16:45:00,1782,842,350,138,69
17:00:00,1951,857,340,164,69
17:15:00,2018,856,363,176,69
17:30:00,2018,814,363,184,69
17:45:00,1849,743,363,191,69
18:00:00,1681,736,352,229,69
18:15:00,1643,690,352,262,69
18:30:00,1497,608,352,278,69
18:45:00,1476,600,352,285,69
19:00:00,1455,504,341,285,69
19:15:00,1435,485,364,285,69
19:30:00,1414,489,364,285,69
19:45:00,1373,475,364,285,69
20:00:00,1331,469,364,284,69
20:15:00,1310,473,364,284,69
20:30:00,1289,462,364,284,69
20:45:00,1268,459,364,284,69
21:00:00,1247,424,364,283,69
21:15:00,1206,387,364,283,342
21:30:00,1165,357,387,283,342
21:45:00,1102,339,387,283,342
22:00:00,1040,315,387,279,342
22:15:00,977,290,387,275,342
22:30:00,915,286,387,274,342
22:45:00,832,265,387,254,342
23:00:00,748,253,387,226,342
23:15:00,718,248,387,133,342
23:30:00,686,243,387,129,696
23:45:00,666,239,387,129,696
