time,homeappliances,utilities,heating,water,vehicles
00:00:00,951,326,1936,237,1392
00:15:00,891,316,1936,237,1392
00:30:00,832,306,1936,237,1392
00:45:00,772,307,2051,237,1392
01:00:00,713,278,2051,215,1392
01:15:00,683,273,2051,215,1392
01:30:00,654,268,2051,215,1392
01:45:00,639,266,2051,215,1392
02:00:00,624,267,2051,224,1392
02:15:00,609,319,2051,224,1392
02:30:00,594,262,2051,224,1392
02:45:00,594,273,2051,224,1392
03:00:00,594,270,2051,221,1392
03:15:00,594,281,2051,221,1392
03:30:00,594,270,2051,221,1392
03:45:00,594,270,2051,221,1392
04:00:00,594,271,2105,200,1392
04:15:00,624,276,2105,200,1392
04:30:00,654,282,2105,200,1392
04:45:00,683,287,2105,200,1392
05:00:00,713,332,2264,190,1392
05:15:00,772,385,2264,190,1392
05:30:00,832,439,2264,273,1392
05:45:00,861,488,2264,368,1392
06:00:00,891,537,2256,434,821
06:15:00,1040,606,2256,594,684
06:30:00,1188,675,2256,787,205
06:45:00,1188,718,2141,967,0
07:00:00,1188,814,2141,1000,0
07:15:00,1218,830,2141,1000,0
07:30:00,1248,889,2141,1000,48
07:45:00,1307,878,2141,1000,48
08:00:00,1366,856,1973,1022,48
08:15:00,1396,861,1973,1018,0
08:30:00,1426,887,1973,942,181
08:45:00,1485,908,1973,514,181
09:00:00,1545,998,1973,375,181
09:15:00,1574,1024,1858,221,181
09:30:00,1604,1008,1858,215,181
09:45:00,1604,1018,1858,215,79
10:00:00,1604,1008,1804,237,0
10:15:00,1634,1002,1804,237,34
10:30:00,1664,1018,1689,237,34
10:45:00,1723,1039,1689,237,34
11:00:00,1782,1017,1689,215,34
11:15:00,1753,1001,1689,215,34
11:30:00,1723,996,1689,215,115
11:45:00,1782,984,1575,215,79
12:00:00,1842,1117,1575,224,79
12:15:00,1871,1133,1575,224,115
12:30:00,1901,1224,1575,224,115
12:45:00,1842,1203,1575,224,34
13:00:00,1782,1023,1575,221,70
13:15:00,1723,970,1575,221,70
13:30:00,1664,938,1575,221,34
13:45:00,1664,960,1575,221,34
14:00:00,1664,1033,1689,200,34
14:15:00,1693,974,1689,200,104
14:30:00,1723,979,1689,200,70
14:45:00,1738,1024,1689,200,253
15:00:00,1753,1239,1689,190,253
15:15:00,1797,1203,1804,190,253
15:30:00,1842,1146,1804,190,249
15:45:00,2079,1208,1804,190,396
16:00:00,2317,1142,1751,189,137
16:15:00,2525,1199,1751,203,137
16:30:00,2402,1135,1751,213,137
16:45:00,2546,1203,1751,230,137
17:00:00,2787,1224,1698,273,137
17:15:00,2883,1223,1813,293,137
17:30:00,2883,1163,1813,307,137
17:45:00,2642,1062,1813,319,137
18:00:00,2402,1051,1760,381,137
18:15:00,2347,986,1760,436,137
18:30:00,2139,868,1760,463,137
18:45:00,2109,857,1760,475,137
19:00:00,2079,720,1706,475,137
19:15:00,2050,693,1821,475,137
19:30:00,2020,699,1821,475,137
19:45:00,1961,678,1821,475,137
20:00:00,1901,670,1821,473,137
20:15:00,1871,675,1821,473,137
20:30:00,1842,660,1821,473,137
20:45:00,1812,655,1821,473,137
21:00:00,1782,606,1821,472,137
21:15:00,1723,553,1821,472,684
21:30:00,1664,510,1936,472,684
21:45:00,1574,484,1936,471,684
22:00:00,1485,450,1936,465,684
22:15:00,1396,414,1936,459,684
22:30:00,1307,409,1936,456,684
22:45:00,1188,378,1936,424,684
23:00:00,1069,362,1936,377,684
23:15:00,1025,354,1936,221,684
23:30:00,980,347,1936,215,1392
23:45:00,951,342,1936,215,1392
